brand,type,name,time,address,service,city,record_date
PX Mart,Supermarket,湖口中山,08:00-22:00,新竹縣湖口鄉中山路1段726號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",新竹縣,2022-02-24
PX Mart,Supermarket,竹北莊敬南,09:00-23:00,新竹縣竹北市莊敬南路125號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",新竹縣,2022-02-24
PX Mart,Supermarket,竹北光明,08:30-22:30,新竹縣竹北市光明六路東1段223號,"農家直採,生鮮蔬果,全聯阪急麵包,COFFEE,停車場",新竹縣,2022-02-24
PX Mart,Supermarket,竹北文興,08:30-22:30,新竹縣竹北市文興路1段257號,"生鮮蔬果,全聯阪急麵包,COFFEE",新竹縣,2022-02-24
PX Mart,Supermarket,新豐文昌,08:00-22:00,新竹縣新豐鄉文昌街62號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",新竹縣,2022-02-24
PX Mart,Supermarket,竹南,07:30-22:30,苗栗縣竹南鎮大營路175-1號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場,無印良品",苗栗縣,2022-02-24
PX Mart,Supermarket,苗栗中華,07:30-22:30,苗栗縣苗栗市中華路132號,"生鮮蔬果,全聯阪急麵包,COFFEE",苗栗縣,2022-02-24
PX Mart,Supermarket,竹南中正,07:30-22:30,苗栗縣竹南鎮中正路96-1號,"生鮮蔬果,全聯阪急麵包,COFFEE",苗栗縣,2022-02-24
PX Mart,Supermarket,苑裡中山,07:30-22:30,苗栗縣苑裡鎮中山路320號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,三義,07:30-22:30,苗栗縣三義鄉廣盛村廣盛39-1號,"生鮮蔬果,全聯阪急麵包,COFFEE",苗栗縣,2022-02-24
PX Mart,Supermarket,竹南光復,08:00-22:00,苗栗縣竹南鎮光復路193巷48號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,頭份中央,08:00-22:00,苗栗縣頭份市中央路706號,"生鮮蔬果,全聯阪急麵包,COFFEE",苗栗縣,2022-02-24
PX Mart,Supermarket,頭份中華,07:30-22:30,苗栗縣頭份市中華路818號,"生鮮蔬果,全聯阪急麵包,COFFEE",苗栗縣,2022-02-24
PX Mart,Supermarket,苑裡世界,07:30-22:30,苗栗縣苑裡鎮世界路1段91-13號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,竹南公義,08:00-22:00,苗栗縣竹南鎮公義路1146號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,苗栗銅鑼,08:00-22:00,苗栗縣銅鑼鄉大同路51號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,竹南龍山,08:00-22:00,苗栗縣竹南鎮龍山路1段260號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,後龍中華,08:00-22:00,苗栗縣後龍鎮中華路55-6-7-15號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,通霄自強,07:30-22:00,苗栗縣通霄鎮自強路3號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,卓蘭經國,07:30-22:00,苗栗縣卓蘭鎮經國路128號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,頭份中興,07:30-22:30,苗栗縣頭份市中興路5號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",苗栗縣,2022-02-24
PX Mart,Supermarket,台中崇德,08:00-23:00,臺中市北區崇德路一段230號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中復興,08:00-23:00,臺中市南區復興路二段160號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中黎明,08:00-23:00,臺中市南屯區黎明路一段1040號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中東山,08:00-23:00,臺中市北屯區東山路一段173之1號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中陜西,08:00-23:00,臺中市北區陜西路66號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,五權,08:00-23:00,臺中市北區五權路176號中央市場內,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,軍功,08:00-23:00,臺中市北屯區軍功路2段39號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,大墩,08:30-22:30,臺中市西屯區大墩路1168號,"生鮮蔬果,全聯阪急麵包",臺中市,2022-02-24
PX Mart,Supermarket,天津,08:00-23:00,臺中市北區天津路二段171號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
